"order_month","product_category_name","order_count"
"2017-02","telefonia","105"
"2017-10","consoles_games","104"
"2017-03","brinquedos","104"
"2018-04","fashion_bolsas_e_acessorios","104"
"2018-02","pet_shop","102"
"2017-08","fashion_bolsas_e_acessorios","101"
"2017-10","moveis_escritorio","101"
"2018-06","cool_stuff","101"
"2017-10","papelaria","98"
"2017-11","moveis_escritorio","98"
"2017-04","relogios_presentes","97"
"2017-11","pet_shop","97"
"2017-07","eletronicos","96"
"2017-02",NULL,"96"
"2018-04","construcao_ferramentas_construcao","95"
"2017-12","consoles_games","94"
"2018-02","moveis_escritorio","93"
"2017-08","pet_shop","92"
"2018-01","pet_shop","91"
"2018-06","fashion_bolsas_e_acessorios","90"
"2017-06",NULL,"89"
"2017-08","consoles_games","89"
"2017-02","automotivo","87"
"2017-03","automotivo","87"
"2017-07","fashion_bolsas_e_acessorios","86"
"2017-04","automotivo","86"
"2017-06","fashion_bolsas_e_acessorios","86"
"2018-07","moveis_escritorio","84"
"2017-07","pet_shop","84"
"2017-03","relogios_presentes","82"
"2018-07","eletrodomesticos","81"
"2017-04",NULL,"81"
"2017-08","papelaria","80"
"2018-04",NULL,"79"
"2017-02","utilidades_domesticas","79"
"2017-07","papelaria","79"
"2017-09","papelaria","78"
"2017-03","moveis_escritorio","78"
"2017-01","esporte_lazer","78"
"2017-05","pet_shop","77"
"2018-04","casa_construcao","77"
"2017-06","bebes","77"
"2017-01","beleza_saude","77"
"2018-06","casa_construcao","76"
"2017-10","pet_shop","76"
"2018-07","fashion_bolsas_e_acessorios","75"
"2018-05","casa_construcao","75"
"2017-12","pet_shop","74"
"2018-03","construcao_ferramentas_construcao","74"
"2017-07","malas_acessorios","74"
"2018-06","moveis_escritorio","72"
"2017-05","malas_acessorios","72"
"2018-03","eletrodomesticos","71"
"2017-11","malas_acessorios","71"
"2017-09","pet_shop","71"
"2017-02","ferramentas_jardim","71"
"2017-02","moveis_escritorio","69"
"2016-10","moveis_decoracao","69"
"2017-05","eletronicos","68"
"2017-09","consoles_games","68"
"2018-08","malas_acessorios","67"
"2018-04","eletroportateis","67"
"2017-03","fashion_bolsas_e_acessorios","67"
"2017-09","eletronicos","67"
"2017-05","papelaria","66"
"2018-08","construcao_ferramentas_iluminacao","66"
"2018-08","eletrodomesticos","66"
"2017-02","brinquedos","65"
"2018-08","consoles_games","65"
"2018-06","eletrodomesticos","65"
"2018-05",NULL,"65"
"2017-09","moveis_escritorio","64"
"2017-06","pet_shop","64"
"2018-05","eletrodomesticos","64"
"2017-02","cool_stuff","63"
"2018-02","construcao_ferramentas_construcao","62"
"2018-07","alimentos","62"
"2017-08","malas_acessorios","62"
"2018-05","instrumentos_musicais","62"
"2018-07","casa_construcao","61"
"2017-06","malas_acessorios","61"
"2018-03","consoles_games","59"
"2018-04","instrumentos_musicais","59"
"2018-05","livros_tecnicos","59"
"2018-07",NULL,"59"
"2017-08","moveis_escritorio","58"
"2018-03","malas_acessorios","57"
"2017-10","eletronicos","57"
"2017-04","moveis_escritorio","57"
"2018-03","instrumentos_musicais","57"
"2017-10","malas_acessorios","56"
"2017-08","eletronicos","56"
"2017-01","ferramentas_jardim","56"
"2018-01","consoles_games","55"
"2018-05","consoles_games","55"
"2017-12","moveis_escritorio","55"
"2018-07","moveis_sala","55"
"2017-05","moveis_escritorio","55"
"2018-04","bebidas","54"
"2018-01","eletroportateis","54"
"2018-04","malas_acessorios","54"
"2018-07","malas_acessorios","53"
"2017-03","papelaria","53"
"2018-05","livros_interesse_geral","53"
"2018-01","bebidas","52"
"2018-01","instrumentos_musicais","52"
"2018-05","malas_acessorios","52"
"2018-04","livros_interesse_geral","51"
"2018-02","consoles_games","51"
"2017-04","fashion_bolsas_e_acessorios","51"
"2018-07","construcao_ferramentas_iluminacao","51"
"2018-06","eletroportateis","50"
"2017-06","moveis_escritorio","50"
"2017-04","bebes","50"
"2017-03","consoles_games","50"
"2017-08","eletrodomesticos","50"
"2018-04","industria_comercio_e_negocios","50"
"2017-02","perfumaria","50"
"2018-08","casa_construcao","49"
"2017-11","instrumentos_musicais","48"
"2018-05","alimentos","48"
"2018-01","construcao_ferramentas_construcao","48"
"2018-02","malas_acessorios","48"
"2018-05","bebidas","48"
"2018-05","eletroportateis","48"
"2018-06","instrumentos_musicais","48"
"2017-04","malas_acessorios","48"
